id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Wizard #1;Lumos;-6560.0;-5164.0;1176.0;-2496.0;3783.0;10035.0;0
1;Wizard #1;Lumos;-17032.0;2844.0;6984.0;-2464.0;557.0;4428.0;104
2;Wizard #1;Lumos;-28988.0;7836.0;22988.0;-2432.0;-30463.0;-21.0;206
3;Wizard #1;Lumos;-22884.0;15872.0;7860.0;-2480.0;-32768.0;1916.0;310
4;Wizard #1;Lumos;-25420.0;5148.0;-15668.0;-2448.0;-24619.0;13592.0;413
5;Wizard #1;Lumos;-16812.0;1348.0;-13120.0;-2496.0;-11442.0;32767.0;517
6;Wizard #1;Lumos;-8336.0;788.0;1948.0;-2448.0;4296.0;31594.0;620
7;Wizard #1;Lumos;32767.0;-3556.0;-32768.0;-2416.0;32767.0;3299.0;722
8;Wizard #1;Lumos;-32768.0;-3452.0;32767.0;-2496.0;21944.0;-24821.0;826
9;Wizard #1;Lumos;15520.0;-10336.0;-8648.0;-2448.0;-6037.0;5797.0;929
10;Wizard #1;Lumos;-1148.0;-15340.0;-1324.0;-2496.0;947.0;4869.0;1033
11;Wizard #1;Lumos;-2616.0;-15936.0;-4432.0;-2448.0;3296.0;-229.0;1136
12;Wizard #1;Lumos;1528.0;-13616.0;4928.0;-2480.0;-2882.0;4813.0;1238
13;Wizard #1;Lumos;6012.0;-11068.0;976.0;-2496.0;-2520.0;1821.0;1342
14;Wizard #1;Lumos;-11292.0;-15288.0;-8088.0;-2464.0;-5803.0;17655.0;1445
15;Wizard #1;Lumos;-1556.0;-19856.0;1028.0;-2448.0;7076.0;1460.0;1549
16;Wizard #1;Lumos;-18704.0;-22584.0;-624.0;-2448.0;-6338.0;6785.0;1651
17;Wizard #1;Lumos;17124.0;-13920.0;-3684.0;-2464.0;-3225.0;17322.0;1755
18;Wizard #1;Lumos;8428.0;-3668.0;-9024.0;-2480.0;-1849.0;14162.0;1858
19;Wizard #1;Lumos;-5744.0;2960.0;2492.0;-2512.0;-12087.0;8162.0;1961
20;Wizard #1;Lumos;-24596.0;6596.0;9456.0;-2480.0;-25397.0;-4325.0;2064
21;Wizard #1;Lumos;-32768.0;16312.0;-11424.0;-2496.0;-32768.0;-13263.0;2167
22;Wizard #1;Lumos;-32768.0;21208.0;-13432.0;-2480.0;-32768.0;16918.0;2271
23;Wizard #1;Lumos;5176.0;9456.0;-11452.0;-2512.0;4589.0;9341.0;2374
24;Wizard #1;Lumos;-11984.0;-3220.0;8500.0;-2464.0;3553.0;24717.0;2477
